kreis_code,name,gap_pct,foreign_pct,decline_pct,is_city,is_east
07211,"Trier, kreisfreie Stadt",-7.891291872892903,17.843410203743904,4.933950547589472,True,False
09261,"Landshut, Kreisfreie Stadt",-7.534293225810851,20.654095462581022,14.21037073914464,True,False
05315,"Köln, Stadt",-6.481330829341559,22.30784730993606,7.319775270922846,True,False
03153,Goslar,-6.373081325389607,10.986944187577388,-2.3521404262941026,False,False
03255,Holzminden,-6.101507280933327,6.461705890355053,-3.686692638917366,False,False
09461,"Bamberg, Kreisfreie Stadt",-5.956858335595106,16.264911219833984,9.419900441226382,True,False
09763,Kempten (Allgäu),-5.930499920463916,17.909300538047656,7.54432348367029,True,False
12052,"Cottbus, Stadt",-5.770581271694852,,-0.2960769800148033,True,True
09561,"Ansbach, Kreisfreie Stadt",-5.256232355615098,16.53998636398071,5.55050505050505,True,False
15001,"Dessau-Roßlau, Stadt",-5.1995555722007865,6.327530353709605,-6.299129702414374,True,True
15002,"Halle (Saale), Stadt",-5.099638971025544,10.942864960765448,3.587078188586257,True,True
08221,"Heidelberg, Stadtkreis",-4.753382667120787,19.96957265179541,8.806387494525492,True,False
09362,"Regensburg, Kreisfreie Stadt",-4.698420578206852,20.928574855552736,12.278514433231646,True,False
07340,Südwestpfalz,-4.588162098891713,5.089522546419098,-3.241572116561908,False,False
03155,Northeim,-4.577238538005068,7.308088410045157,-3.0992704151894257,False,False
